Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,types,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water
Blastoise,0.30708661417322836,0.42162162162162165,0.4222222222222222,0.4076086956521739,0.40476190476190477,0.41714285714285715,1,False,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mega Blastoise,0.30708661417322836,0.5297297297297299,0.5111111111111111,0.6793478260869564,0.45238095238095244,0.41714285714285715,1,False,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Caterpie,0.1732283464566929,0.13513513513513514,0.13333333333333333,0.05434782608695652,0.0,0.22857142857142854,1,False,Bug,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metapod,0.19291338582677164,0.08108108108108109,0.2222222222222222,0.08152173913043478,0.023809523809523808,0.14285714285714285,1,False,Bug,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butterfree,0.23228346456692914,0.21621621621621623,0.19999999999999998,0.43478260869565216,0.28571428571428575,0.37142857142857144,1,False,"Bug,Flying",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Weedle,0.15354330708661418,0.16216216216216217,0.1111111111111111,0.05434782608695652,0.0,0.2571428571428571,1,False,"Bug,Poison",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kakuna,0.1732283464566929,0.10810810810810811,0.19999999999999998,0.08152173913043478,0.023809523809523808,0.17142857142857143,1,False,"Bug,Poison",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Beedrill,0.25196850393700787,0.4594594594594595,0.15555555555555556,0.19021739130434784,0.28571428571428575,0.39999999999999997,1,False,"Bug,Poison",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mega Beedrill,0.25196850393700787,0.7837837837837838,0.15555555555555556,0.027173913043478264,0.28571428571428575,0.8,1,False,"Bug,Poison",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pidgey,0.15354330708661418,0.21621621621621623,0.15555555555555556,0.1358695652173913,0.07142857142857144,0.2914285714285714,1,False,"Normal,Flying",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Pidgeotto,0.2440944881889764,0.2972972972972973,0.2222222222222222,0.21739130434782608,0.14285714285714285,0.3771428571428571,1,False,"Normal,Flying",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Pidgeot,0.3228346456692913,0.40540540540540543,0.3111111111111111,0.3260869565217391,0.23809523809523814,0.5485714285714286,1,False,"Normal,Flying",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Mega Pidgeot,0.3228346456692913,0.40540540540540543,0.33333333333333337,0.6793478260869564,0.28571428571428575,0.6628571428571428,1,False,"Normal,Flying",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Rattata,0.11417322834645668,0.2756756756756757,0.13333333333333333,0.08152173913043478,0.07142857142857144,0.38285714285714284,1,False,Normal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Raticate,0.2125984251968504,0.41081081081081083,0.24444444444444444,0.21739130434782608,0.23809523809523814,0.5257142857142857,1,False,Normal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Spearow,0.15354330708661418,0.2972972972972973,0.1111111111111111,0.1141304347826087,0.052380952380952375,0.37142857142857144,1,False,"Normal,Flying",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Fearow,0.25196850393700787,0.4594594594594595,0.26666666666666666,0.2771739130434782,0.19523809523809527,0.5428571428571428,1,False,"Normal,Flying",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Ekans,0.13385826771653545,0.2972972972972973,0.17333333333333334,0.16304347826086957,0.16190476190476194,0.2857142857142857,1,False,Poison,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Arbok,0.23228346456692914,0.43243243243243246,0.28444444444444444,0.29891304347826086,0.280952380952381,0.42857142857142855,1,False,Poison,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pikachu,0.13385826771653545,0.2702702702702703,0.15555555555555556,0.21739130434782608,0.14285714285714285,0.48571428571428565,1,False,Electric,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raichu,0.23228346456692914,0.4594594594594595,0.2222222222222222,0.43478260869565216,0.28571428571428575,0.6,1,False,Electric,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandshrew,0.19291338582677164,0.3783783783783784,0.35555555555555557,0.05434782608695652,0.04761904761904763,0.19999999999999998,1,False,Ground,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sandslash,0.29133858267716534,0.5135135135135136,0.4666666666666667,0.19021739130434784,0.16666666666666669,0.34285714285714286,1,False,Ground,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nidoran♀,0.2125984251968504,0.22702702702702704,0.20888888888888887,0.16304347826086957,0.09523809523809525,0.2057142857142857,1,False,Poison,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nidorina,0.27165354330708663,0.3081081081081081,0.27555555555555555,0.24456521739130435,0.16666666666666669,0.2914285714285714,1,False,Poison,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nidoqueen,0.35039370078740156,0.4702702702702703,0.36444444444444446,0.35326086956521735,0.3095238095238096,0.4057142857142857,1,False,"Poison,Ground",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Nidoran♂,0.17716535433070868,0.2810810810810811,0.15555555555555556,0.16304347826086957,0.09523809523809525,0.2571428571428571,1,False,Poison,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nidorino,0.23622047244094488,0.3621621621621622,0.23111111111111113,0.24456521739130435,0.16666666666666669,0.34285714285714286,1,False,Poison,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nidoking,0.31496062992125984,0.5243243243243243,0.32,0.4076086956521739,0.2619047619047619,0.45714285714285713,1,False,"Poison,Ground",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Clefairy,0.27165354330708663,0.21621621621621623,0.1911111111111111,0.2717391304347826,0.2142857142857143,0.17142857142857143,1,False,Fairy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Clefable,0.3700787401574803,0.35135135135135137,0.3022222222222222,0.4619565217391304,0.33333333333333337,0.3142857142857143,1,False,Fairy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vulpix,0.1456692913385827,0.1945945945945946,0.15555555555555556,0.21739130434782608,0.2142857142857143,0.34285714285714286,1,False,Fire,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ninetales,0.28346456692913385,0.3837837837837838,0.3111111111111111,0.3858695652173913,0.380952380952381,0.5428571428571428,1,False,Fire,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jigglypuff,0.44881889763779526,0.21621621621621623,0.06666666666666667,0.19021739130434784,0.023809523809523808,0.08571428571428572,1,False,"Normal,Fairy",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Wigglytuff,0.547244094488189,0.35135135135135137,0.17777777777777778,0.4076086956521739,0.14285714285714285,0.22857142857142854,1,False,"Normal,Fairy",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Zubat,0.15354330708661418,0.21621621621621623,0.13333333333333333,0.10869565217391305,0.09523809523809525,0.2857142857142857,1,False,"Poison,Flying",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Golbat,0.29133858267716534,0.40540540540540543,0.2888888888888889,0.29891304347826086,0.2619047619047619,0.48571428571428565,1,False,"Poison,Flying",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Oddish,0.1732283464566929,0.24324324324324326,0.2222222222222222,0.35326086956521735,0.2142857142857143,0.14285714285714285,1,False,"Grass,Poison",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Gloom,0.23228346456692914,0.32432432432432434,0.2888888888888889,0.4076086956521739,0.2619047619047619,0.19999999999999998,1,False,"Grass,Poison",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Vileplume,0.29133858267716534,0.40540540540540543,0.35555555555555557,0.5434782608695652,0.33333333333333337,0.2571428571428571,1,False,"Grass,Poison",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Paras,0.13385826771653545,0.35135135135135137,0.2222222222222222,0.19021739130434784,0.16666666666666669,0.11428571428571428,1,False,"Bug,Grass",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Parasect,0.23228346456692914,0.48648648648648657,0.33333333333333337,0.2717391304347826,0.28571428571428575,0.14285714285714285,1,False,"Bug,Grass",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Venonat,0.23228346456692914,0.2702702702702703,0.19999999999999998,0.16304347826086957,0.16666666666666669,0.22857142857142854,1,False,"Bug,Poison",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Venomoth,0.27165354330708663,0.32432432432432434,0.24444444444444444,0.43478260869565216,0.2619047619047619,0.48571428571428565,1,False,"Bug,Poison",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Diglett,0.03543307086614173,0.2702702702702703,0.08888888888888888,0.1358695652173913,0.11904761904761905,0.5142857142857142,1,False,Ground,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dugtrio,0.13385826771653545,0.40540540540540543,0.19999999999999998,0.21739130434782608,0.23809523809523814,0.6571428571428571,1,False,Ground,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Meowth,0.15354330708661418,0.21621621621621623,0.13333333333333333,0.16304347826086957,0.09523809523809525,0.48571428571428565,1,False,Normal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Persian,0.25196850393700787,0.35135135135135137,0.24444444444444444,0.29891304347826086,0.2142857142857143,0.6285714285714286,1,False,Normal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Psyduck,0.19291338582677164,0.25405405405405407,0.1911111111111111,0.29891304347826086,0.14285714285714285,0.2857142857142857,1,False,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Golduck,0.3110236220472441,0.41621621621621624,0.3244444444444445,0.4619565217391304,0.28571428571428575,0.45714285714285713,1,False,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mankey,0.15354330708661418,0.40540540540540543,0.13333333333333333,0.1358695652173913,0.11904761904761905,0.37142857142857144,1,False,Fighting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mankeyduck,0.25196850393700787,0.5405405405405406,0.24444444444444444,0.2717391304347826,0.23809523809523814,0.5142857142857142,1,False,Fighting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Growlithe,0.2125984251968504,0.35135135135135137,0.17777777777777778,0.3260869565217391,0.14285714285714285,0.3142857142857143,1,False,Fire,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Arcanine,0.35039370078740156,0.5675675675675675,0.33333333333333337,0.48913043478260865,0.28571428571428575,0.5142857142857142,1,False,Fire,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Poliwag,0.15354330708661418,0.24324324324324326,0.15555555555555556,0.16304347826086957,0.09523809523809525,0.48571428571428565,1,False,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Poliwhirl,0.25196850393700787,0.32432432432432434,0.26666666666666666,0.21739130434782608,0.14285714285714285,0.48571428571428565,1,False,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Poliwrath,0.35039370078740156,0.48648648648648657,0.4,0.3260869565217391,0.33333333333333337,0.37142857142857144,1,False,"Water,Fighting",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Abra,0.09448818897637795,0.08108108108108109,0.04444444444444444,0.5163043478260869,0.16666666666666669,0.48571428571428565,1,False,Psychic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kadabra,0.15354330708661418,0.16216216216216217,0.1111111111111111,0.5978260869565217,0.23809523809523814,0.5714285714285714,1,False,Psychic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alakazam,0.2125984251968504,0.24324324324324326,0.17777777777777778,0.6793478260869564,0.3571428571428572,0.6571428571428571,1,False,Psychic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mega Alakazam,0.2125984251968504,0.24324324324324326,0.26666666666666666,0.8967391304347826,0.3571428571428572,0.8285714285714285,1,False,Psychic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Machop,0.27165354330708663,0.40540540540540543,0.19999999999999998,0.1358695652173913,0.07142857142857144,0.17142857142857143,1,False,Fighting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Machoke,0.3110236220472441,0.5135135135135136,0.2888888888888889,0.21739130434782608,0.19047619047619052,0.22857142857142854,1,False,Fighting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Machamp,0.35039370078740156,0.6756756756756757,0.33333333333333337,0.29891304347826086,0.3095238095238096,0.2857142857142857,1,False,Fighting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bellsprout,0.19291338582677164,0.3783783783783784,0.13333333333333333,0.3260869565217391,0.04761904761904763,0.19999999999999998,1,False,"Grass,Poison",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Weepinbell,0.25196850393700787,0.4594594594594595,0.19999999999999998,0.4076086956521739,0.11904761904761905,0.2857142857142857,1,False,"Grass,Poison",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Victreebel,0.3110236220472441,0.5405405405405406,0.26666666666666666,0.48913043478260865,0.23809523809523814,0.37142857142857144,1,False,"Grass,Poison",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Tentacool,0.15354330708661418,0.1891891891891892,0.13333333333333333,0.21739130434782608,0.380952380952381,0.37142857142857144,1,False,"Water,Poison",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Tentacruel,0.3110236220472441,0.35135135135135137,0.26666666666666666,0.3804347826086956,0.4761904761904763,0.5428571428571428,1,False,"Water,Poison",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Geodude,0.15354330708661418,0.40540540540540543,0.4222222222222222,0.10869565217391305,0.04761904761904763,0.08571428571428572,1,False,"Rock,Ground",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Graveler,0.2125984251968504,0.48648648648648657,0.4888888888888889,0.19021739130434784,0.11904761904761905,0.17142857142857143,1,False,"Rock,Ground",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Golem,0.3110236220472441,0.6216216216216217,0.5555555555555555,0.24456521739130435,0.2142857142857143,0.22857142857142854,1,False,"Rock,Ground",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Ponyta,0.19291338582677164,0.43243243243243246,0.2222222222222222,0.29891304347826086,0.2142857142857143,0.48571428571428565,1,False,Fire,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rapidash,0.25196850393700787,0.5135135135135136,0.2888888888888889,0.3804347826086956,0.28571428571428575,0.5714285714285714,1,False,Fire,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Slowpoke,0.35039370078740156,0.32432432432432434,0.26666666666666666,0.16304347826086957,0.09523809523809525,0.05714285714285715,1,False,"Water,Psychic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Slowbro,0.3700787401574803,0.3783783783783784,0.4666666666666667,0.48913043478260865,0.28571428571428575,0.14285714285714285,1,False,"Water,Psychic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Mega Slowbro,0.3700787401574803,0.3783783783783784,0.7777777777777778,0.6521739130434783,0.28571428571428575,0.14285714285714285,1,False,"Water,Psychic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Magnemite,0.09448818897637795,0.16216216216216217,0.2888888888888889,0.4619565217391304,0.16666666666666669,0.22857142857142854,1,False,"Electric,Steel",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Magneton,0.19291338582677164,0.2972972972972973,0.4,0.5978260869565217,0.23809523809523814,0.37142857142857144,1,False,"Electric,Steel",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Farfetch'd,0.20078740157480315,0.32432432432432434,0.2222222222222222,0.2608695652173913,0.2,0.3142857142857143,1,False,"Normal,Flying",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Doduo,0.13385826771653545,0.43243243243243246,0.17777777777777778,0.1358695652173913,0.07142857142857144,0.39999999999999997,1,False,"Normal,Flying",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Dodrio,0.23228346456692914,0.5675675675675675,0.2888888888888889,0.2717391304347826,0.19047619047619052,0.5428571428571428,1,False,"Normal,Flying",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Seel,0.25196850393700787,0.21621621621621623,0.2222222222222222,0.19021739130434784,0.23809523809523814,0.22857142857142854,1,False,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dewgong,0.35039370078740156,0.35135135135135137,0.33333333333333337,0.3260869565217391,0.3571428571428572,0.37142857142857144,1,False,"Water,Ice",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Grimer,0.3110236220472441,0.40540540540540543,0.19999999999999998,0.16304347826086957,0.14285714285714285,0.11428571428571428,1,False,Poison,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Muk,0.4094488188976378,0.5405405405405406,0.3111111111111111,0.29891304347826086,0.380952380952381,0.2571428571428571,1,False,Poison,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Shellder,0.11417322834645668,0.32432432432432434,0.4222222222222222,0.19021739130434784,0.023809523809523808,0.19999999999999998,1,False,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cloyster,0.19291338582677164,0.48648648648648657,0.7777777777777778,0.4076086956521739,0.11904761904761905,0.37142857142857144,1,False,"Water,Ice",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Gastly,0.11417322834645668,0.16216216216216217,0.1111111111111111,0.48913043478260865,0.07142857142857144,0.42857142857142855,1,False,"Ghost,Poison",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Haunter,0.1732283464566929,0.24324324324324326,0.17777777777777778,0.5706521739130435,0.16666666666666669,0.5142857142857142,1,False,"Ghost,Poison",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Gengar,0.23228346456692914,0.32432432432432434,0.24444444444444444,0.6521739130434783,0.2619047619047619,0.6,1,False,"Ghost,Poison",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Mega Gengar,0.23228346456692914,0.32432432432432434,0.33333333333333337,0.8695652173913043,0.3571428571428572,0.7142857142857143,1,False,"Ghost,Poison",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Onix,0.13385826771653545,0.21621621621621623,0.6888888888888889,0.10869565217391305,0.11904761904761905,0.37142857142857144,1,False,"Rock,Ground",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Drowzee,0.23228346456692914,0.23243243243243245,0.17777777777777778,0.1793478260869565,0.33333333333333337,0.2114285714285714,1,False,Psychic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hypno,0.33070866141732286,0.3675675675675676,0.2888888888888889,0.34239130434782605,0.45238095238095244,0.35428571428571426,1,False,Psychic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Krabby,0.11417322834645668,0.5405405405405406,0.3777777777777778,0.08152173913043478,0.023809523809523808,0.2571428571428571,1,False,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kingler,0.2125984251968504,0.6756756756756757,0.4888888888888889,0.21739130434782608,0.14285714285714285,0.39999999999999997,1,False,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Voltorb,0.15354330708661418,0.13513513513513514,0.19999999999999998,0.24456521739130435,0.16666666666666669,0.5428571428571428,1,False,Electric,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electrode,0.23228346456692914,0.24324324324324326,0.2888888888888889,0.3804347826086956,0.28571428571428575,0.7714285714285715,1,False,Electric,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exeggcute,0.23228346456692914,0.1891891891891892,0.33333333333333337,0.2717391304347826,0.11904761904761905,0.19999999999999998,1,False,"Grass,Psychic",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Exeggutor,0.3700787401574803,0.48648648648648657,0.35555555555555557,0.625,0.2142857142857143,0.2857142857142857,1,False,"Grass,Psychic",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Cubone,0.19291338582677164,0.24324324324324326,0.4,0.16304347826086957,0.14285714285714285,0.17142857142857143,1,False,Ground,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Marowak,0.23228346456692914,0.40540540540540543,0.4666666666666667,0.21739130434782608,0.28571428571428575,0.22857142857142854,1,False,Ground,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hitmonlee,0.19291338582677164,0.6216216216216217,0.21333333333333332,0.1358695652173913,0.4285714285714286,0.4685714285714286,1,False,Fighting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hitmonchan,0.19291338582677164,0.5405405405405406,0.3288888888888889,0.1358695652173913,0.4285714285714286,0.4057142857142857,1,False,Fighting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lickitung,0.35039370078740156,0.2702702702702703,0.3111111111111111,0.2717391304347826,0.2619047619047619,0.14285714285714285,1,False,Normal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Koffing,0.15354330708661418,0.32432432432432434,0.4,0.2717391304347826,0.11904761904761905,0.17142857142857143,1,False,Poison,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Weezing,0.25196850393700787,0.4594594594594595,0.5111111111111111,0.4076086956521739,0.23809523809523814,0.3142857142857143,1,False,Poison,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rhyhorn,0.3110236220472441,0.43243243243243246,0.4,0.10869565217391305,0.04761904761904763,0.11428571428571428,1,False,"Ground,Rock",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Rhydon,0.4094488188976378,0.6756756756756757,0.5111111111111111,0.19021739130434784,0.11904761904761905,0.19999999999999998,1,False,"Ground,Rock",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Chansey,0.9803149606299213,0.0,0.0,0.1358695652173913,0.40476190476190477,0.2571428571428571,1,False,Normal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tangela,0.25196850393700787,0.2702702702702703,0.4888888888888889,0.48913043478260865,0.09523809523809525,0.3142857142857143,1,False,Grass,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kangaskhan,0.4094488188976378,0.48648648648648657,0.33333333333333337,0.16304347826086957,0.28571428571428575,0.48571428571428565,1,False,Normal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mega Kangaskhan,0.4094488188976378,0.6486486486486487,0.4222222222222222,0.2717391304347826,0.380952380952381,0.5428571428571428,1,False,Normal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Horsea,0.11417322834645668,0.1891891891891892,0.2888888888888889,0.3260869565217391,0.023809523809523808,0.3142857142857143,1,False,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Seadra,0.2125984251968504,0.32432432432432434,0.4,0.4619565217391304,0.11904761904761905,0.45714285714285713,1,False,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Goldeen,0.1732283464566929,0.33513513513513515,0.24444444444444444,0.1358695652173913,0.14285714285714285,0.3314285714285714,1,False,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Seaking,0.3110236220472441,0.4702702702702703,0.26666666666666666,0.29891304347826086,0.28571428571428575,0.36,1,False,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Staryu,0.11417322834645668,0.21621621621621623,0.2222222222222222,0.3260869565217391,0.16666666666666669,0.45714285714285713,1,False,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
